customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,creditLimit
"Franken Gifts, Co",Franken,Peter ,089-0877555,Berliner Platz 43,NULL,M�nchen,NULL,80805,Germany,0
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,107.8
Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,NULL,Bergamo,NULL,24100,Italy,119.6
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,93.3
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,NULL,Cambridge,MA,51247,USA,123.7
BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,NULL,Fribourg,NULL,1700,Switzerland,0
"Vida Sport, Ltd",Holz,Mihael,0897-034555,Grenzacherweg 237,NULL,Gen�ve,NULL,1203,Switzerland,141.3
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,NULL,N 0106,Norway  ,95.1
Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,NULL,Amsterdam,NULL,1043 GR,Netherlands,0
Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,NULL,Berlin,NULL,12209,Germany,0
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,NULL,Oulu,NULL,90110,Finland,90.5
Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,NULL,Bruxelles,NULL,B-1180,Belgium,79.9
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,NULL,White Plains,NY,24067,USA,102.7
Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,NULL,New Bedford,MA,50553,USA,94.5
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,NULL,San Francisco,CA,94217,USA,105
"Down Under Souveniers, Inc",Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,NULL,NULL,New Zealand,88
"Stylish Desk Decors, Co.",Brown,Ann ,(171) 555-0297,35 King George,NULL,London,NULL,WX3 6FW,UK,77
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,NULL,Newark,NJ,94019,USA,43
"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,NULL,South Brisbane,Queensland,4101,Australia,51.6
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,NULL,FIN-02271,Finland,98.8
"Cramer Spezialit�ten, Ltd",Cramer,Philip ,0555-09555,Maubelstr. 90,NULL,Brandenburg,NULL,14776,Germany,0
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,NULL,Philadelphia,PA,71270,USA,81.1
CAF Imports,Fernandez,Jesus,+34 913 728 555,Merchants House,27-30 Merchant's Quay,Madrid,NULL,28023,Spain,59.6
"Men 'R' US Retailers, Ltd.",Chandler,Brian,2155554369,6047 Douglas Av.,NULL,Los Angeles,CA,91003,USA,57.7
"Asian Treasures, Inc.",McKenna,Patricia ,2967 555,8 Johnstown Road,NULL,Cork,Co. Cork,NULL,Ireland,0
Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,"12, rue des Bouchers",NULL,Marseille,NULL,13008,France,65
Reims Collectables,Henriot,Paul ,26.47.1555,59 rue de l'Abbaye,NULL,Reims,NULL,51100,France,81.1
"SAR Distributors, Co",Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,NULL,Hatfield,Pretoria,28,South Africa,0
GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,NULL,Auckland,NULL,NULL,New Zealand,77.7
Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,NULL,M�nster,NULL,44087,Germany,0
Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,NULL,Boston,MA,51003,USA,41.9
Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,NULL,Nashua,NH,62005,USA,114.2
"Lisboa Souveniers, Inc",Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,NULL,Lisboa,NULL,1675,Portugal,0
Precious Collectables,Urs,Braun,0452-076555,Hauptstr. 29,NULL,Bern,NULL,3012,Switzerland,0
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,NULL,Brickhaven,MA,58339,USA,70.7
Royale Belge,Cartrain,Pascale ,(071) 23 67 2555,"Boulevard Tirou, 255",NULL,Charleroi,NULL,B-6000,Belgium,23.5
Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,NULL,Salzburg,NULL,5020,Austria,71.7
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,NULL,1227 MM,Philippines,81.5
L'ordine Souveniers,Moroni,Maurizio ,0522-556555,Strada Provinciale 124,NULL,Reggio Emilia,NULL,42100,Italy,121.4
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,NULL,Minato-ku,Tokyo,106-0032,Japan,94.4
Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",NULL,Paris,NULL,75016,France,95
Stuttgart Collectable Exchange,M�ller,Rita ,0711-555361,Adenauerallee 900,NULL,Stuttgart,NULL,70563,Germany,0
"Extreme Desk Decorations, Ltd",McRoy,Sarah,04 499 9555,101 Lambton Quay,Level 11,Wellington,NULL,NULL,New Zealand,86.8
"Bavarian Collectables Imports, Co.",Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,NULL,Munich,NULL,80686,Germany,77
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,67.5
"Feuer Online Stores, Inc",Feuer,Alexander ,0342-555176,Heerstr. 22,NULL,Leipzig,NULL,4179,Germany,0
Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,NULL,Glendale,CT,97561,USA,49.7
Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,�kergatan 24,NULL,Br�cke,NULL,S-844 67,Sweden,116.4
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,NULL,San Jose,CA,94217,USA,77.6
Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,NULL,Graz,NULL,8010,Austria,45.3
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,NULL,New Haven,CT,97823,USA,95.4
Microscale Inc.,Choi,Yu,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,39.8
"Corrida Auto Replicas, Ltd",Sommer,Mart�n ,(91) 555 22 82,"C/ Araquil, 67",NULL,Madrid,NULL,28023,Spain,104.6
Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,NULL,Aachen,NULL,52066,Germany,0
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,NULL,New Bedford,MA,50553,USA,85.8
"Anton Designs, Ltd.",Anton,Carmen,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",NULL,Madrid,NULL,28023,Spain,0
"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,7 Allen Street,NULL,Glen Waverly,Victoria,3150,Australia,60.3
Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,NULL,NULL,Italy,34.8
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,NULL,Burbank,CA,94019,USA,55.4
Mit Vergn�gen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,NULL,Mannheim,NULL,68306,Germany,0
"Kremlin Collectables, Co.",Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,NULL,Saint Petersburg,NULL,196143,Russia,0
"Raanan Stores, Inc","Altagar,G M",Raanan,+ 972 9 959 8555,3 Hagalim Blv.,NULL,Herzlia,NULL,47625,Israel,0
"Iberia Gift Imports, Corp.",Roel,Jos� Pedro ,(95) 555 82 82,"C/ Romero, 33",NULL,Sevilla,NULL,41101,Spain,65.7
Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,NULL,Philadelphia,PA,71270,USA,72.6
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,NULL,Brisbane,CA,94217,USA,60.3
"Double Decker Gift Stores, Ltd",Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,NULL,London,NULL,WA1 1DP,UK,43.3
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,NULL,Boston,MA,51003,USA,85.1
Kelly's Gift Shop,Snowden,Tony,+64 9 5555500,Arenales 1938 3'A',NULL,Auckland  ,NULL,NULL,New Zealand,110
